epoch	time	lr	loss	val_loss
1	170.11269504199998	0.001	6.379656045190219	6.578465578456719
2	168.81008301500003	0.001	5.528234782712213	5.984297109146913
3	170.260753664	0.001	5.182110674627896	5.641547853748004
4	165.87740940599997	0.001	4.97494921108772	5.390108421444893
5	165.44308833799994	0.001	4.8223757908262055	5.2387986506025
6	165.21080469200012	0.001	4.747276392476312	5.09467551112175
7	165.6775231119998	0.001	4.6900111971230345	4.992603185276191
8	166.055912024	0.001	4.6115117311477665	4.8999407688776655
9	166.45089238800006	0.001	4.4918429169161564	4.845690436661243
10	166.395973766	0.001	4.609087210688098	4.77100570499897
11	166.86980248299983	0.001	4.499561888596107	4.694535918533802
12	167.10304451900015	0.001	4.477377417169769	4.741129117707412
13	167.03125173499984	0.001	4.386278065319719	4.621126368641853
14	167.0015749629997	0.001	4.336772350607247	4.602285494407018
15	169.118926655	0.001	4.285306610732243	4.5577148248751955
16	167.5852230749997	0.001	4.272267890798634	4.549620000024636
17	167.5121509200003	0.001	4.23275485778677	4.557423608998458
18	168.031299106	0.001	4.189030424479781	4.51148247718811
19	170.7487208729999	0.001	4.147661377643717	4.518742009997368
20	167.2822644380003	0.001	4.174135768002477	4.472682751715183
21	166.61746826699982	0.001	4.09830660737794	4.480428668359916
22	166.94937994300017	0.001	4.173468807647968	4.477612614631653
23	185.66795209300017	0.001	4.104886391245086	4.402624222139518
24	222.37950310399992	0.001	4.217758879990413	4.400541154046853
25	218.3340571380004	0.001	4.059633178546511	4.3748317658901215
26	218.27291297899956	0.001	4.162191009521484	4.392131887376308
27	216.48231282399956	0.001	4.00682755174308	4.3577614178260164
28	175.3195047679992	0.001	4.090472940740915	4.413459666073322
29	172.1124667970007	0.001	3.921239134361004	4.348817852636178
30	169.62627222399988	0.001	3.9678011491380887	4.3118783086538315
31	207.26468245700016	0.001	3.950142977155488	4.302507199347019
32	188.08896884500064	0.001	3.9005421556275466	4.32257895419995
33	182.96886177499982	0.001	3.868474741639762	4.413541282216708
34	167.5229380439996	0.001	3.87839016996581	4.329717457294464
35	167.50380874300026	0.001	4.173700677115342	4.344904859860738
36	172.50793920700016	0.001	3.9041405283171553	4.274322268863519
37	168.26978089400018	0.001	3.9348774967522457	4.2970799307028456
38	163.72702799799936	0.001	3.953571782440975	4.286976618071397
39	169.8210538580006	0.001	3.977484107017517	4.325344438354175
40	163.18466789600006	0.001	3.8671149360722508	4.317659678558509
41	162.96473982099997	0.001	3.824509679860082	4.3110869353016215
42	164.18464496599972	0.001	3.9506205164153	4.36009609947602
43	168.54137759500009	0.001	3.7730633489016827	4.2903202672799425
44	169.5360562730002	0.001	3.9479349062360565	4.495112789173921
45	167.10102737099987	0.001	3.923556528420284	4.372889143725236
46	166.59924731899991	0.001	3.7686620243664444	4.354374460875988
47	167.19101290299932	0.0001	3.7295344097860927	4.350365564227104
48	166.14975357100047	0.0001	3.552878835283477	4.298640621205171
49	164.0941481109985	0.0001	3.6491808587107166	4.301286742091179
50	167.24266596800044	0.0001	3.682659044759027	4.302576946715514
51	167.31418971300081	0.0001	3.554229975568837	4.296995741625627
52	167.10657573700155	0.0001	3.559452573184309	4.302502100666364
